game_name,game_url,img_url,release_date,platforms,reviews_summary,original_price,discount_price,discount_rate
Steam Deck,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1675200/capsule_sm_120.jpg?t=1656364857,,"win,mac,linux",,"₹ 3,499",,
EA SPORTS™ FIFA 23,https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1811260/capsule_sm_120.jpg?t=1664270272,"29 Sep, 2022",win,Very Negative13% of the 153 user reviews for this game are positive.,"₹ 3,499",,
Need for Speed™ Heat,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1222680/capsule_sm_120.jpg?t=1664215770,"4 Jun, 2020",win,"Very Positive83% of the 51,475 user reviews for this game are positive.","₹ 3,499",₹ 175,95%
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1641233427,"21 Aug, 2012","win,mac,linux","Very Positive88% of the 6,665,384 user reviews for this game are positive.","₹ 1,199",,
NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1203220/capsule_sm_120.jpg?t=1660835947,"11 Aug, 2021",win,"Mostly Positive78% of the 112,102 user reviews for this game are positive.","₹ 1,199",₹ 599,50%
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1664321959,"4 Nov, 2020",win,"Very Positive85% of the 514,480 user reviews for this game are positive.","₹ 3,499",,
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1659057136,"21 Dec, 2017",win,"Mixed56% of the 2,079,429 user reviews for this game are positive.","₹ 3,499",,
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/394360/capsule_sm_120.jpg?t=1664294433,"6 Jun, 2016","win,mac,linux","Very Positive92% of the 198,703 user reviews for this game are positive.","₹ 3,499",,
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1662588548,"9 Jul, 2013","win,mac,linux","Very Positive82% of the 1,820,568 user reviews for this game are positive.","₹ 3,499",,
MONSTER HUNTER RISE,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1664417310,"12 Jan, 2022",win,"Very Positive86% of the 32,694 user reviews for this game are positive.","₹ 3,499","₹ 1,749",50%
Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/capsule_sm_120.jpg?t=1663663573,"9 Dec, 2020",win,"Mostly Positive77% of the 421,285 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",₹ 619,,
Destiny 2,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/capsule_sm_120.jpg?t=1661876523,"1 Oct, 2019",win,"Very Positive83% of the 495,623 user reviews for this game are positive.",₹ 619,,
Grounded,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/962130/capsule_sm_120.jpg?t=1664324694,"27 Sep, 2022",win,"Very Positive88% of the 27,070 user reviews for this game are positive.",₹ 619,,
Dome Keeper,https://store.steampowered.com/app/1637320/Dome_Keeper/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1637320/capsule_sm_120.jpg?t=1664299310,"27 Sep, 2022","win,mac,linux",Very Positive85% of the 693 user reviews for this game are positive.,₹ 619,₹ 557,10%
Slime Rancher 2,https://store.steampowered.com/app/1657630/Slime_Rancher_2/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1657630/capsule_sm_120.jpg?t=1663866007,"22 Sep, 2022",win,"Overwhelmingly Positive95% of the 7,418 user reviews for this game are positive.","₹ 1,499",,
Terra Invicta,https://store.steampowered.com/app/1176470/Terra_Invicta/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1176470/capsule_sm_120.jpg?t=1664429533,"26 Sep, 2022",win,Very Positive83% of the 587 user reviews for this game are positive.,"₹ 1,499","₹ 1,349",10%
Expansion - Hearts of Iron IV: By Blood Alone,https://store.steampowered.com/app/1880650/Expansion__Hearts_of_Iron_IV_By_Blood_Alone/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1880650/capsule_sm_120.jpg?t=1664294406,"27 Sep, 2022","win,mac,linux",Mixed61% of the 759 user reviews for this game are positive.,"₹ 2,639",,
Kena: Bridge of Spirits,https://store.steampowered.com/app/1954200/Kena_Bridge_of_Spirits/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1954200/capsule_sm_120.jpg?t=1664298117,"26 Sep, 2022",win,Very Positive92% of the 479 user reviews for this game are positive.,"₹ 2,639","₹ 1,979",25%
Call of Duty®: Modern Warfare® II,https://store.steampowered.com/app/1938090/Call_of_Duty_Modern_Warfare_II/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1938090/capsule_sm_120.jpg?t=1664213697,28 Oct,win,,₹ 699,,
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/capsule_sm_120.jpg?t=1663691584,"15 Aug, 2013","win,mac,linux,vr_supported","Mostly Positive78% of the 331,555 user reviews for this game are positive.",₹ 699,,
Foxhole,https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/505460/capsule_sm_120_alt_assets_6.jpg?t=1664401673,"28 Sep, 2022",win,"Very Positive84% of the 21,602 user reviews for this game are positive.",₹ 699,₹ 524,25%
Conqueror's Blade,https://store.steampowered.com/app/835570/Conquerors_Blade/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/835570/capsule_sm_120.jpg?t=1663799207,"5 Apr, 2020",win,"Mixed68% of the 24,037 user reviews for this game are positive.","₹ 1,599",,
NBA 2K23,https://store.steampowered.com/app/1919590/NBA_2K23/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1919590/capsule_sm_120.jpg?t=1663350933,"8 Sep, 2022",win,"Mixed51% of the 3,648 user reviews for this game are positive.","₹ 1,599",,
Construction Simulator,https://store.steampowered.com/app/1273400/Construction_Simulator/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1273400/capsule_sm_120.jpg?t=1664014253,"20 Sep, 2022",win,"Mostly Positive77% of the 1,557 user reviews for this game are positive.","₹ 1,599",,
The Elder Scrolls® Online,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/306130/capsule_sm_120.jpg?t=1661194916,"22 May, 2017","win,mac","Very Positive83% of the 102,407 user reviews for this game are positive.","₹ 1,599",₹ 479,70%
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/230410/capsule_sm_120.jpg?t=1663778697,"25 Mar, 2013",win,"Very Positive87% of the 506,254 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",₹ 529,,
Sid Meier’s Civilization® VI,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1663263035,"20 Oct, 2016","win,mac,linux","Very Positive84% of the 164,171 user reviews for this game are positive.",₹ 529,,
ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1654259241,"24 Feb, 2022",win,"Very Positive90% of the 406,078 user reviews for this game are positive.",₹ 529,,
Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1664305070,"13 Apr, 2015",win,"Very Positive85% of the 1,284,552 user reviews for this game are positive.",₹ 529,,
